"CChny_HanyouUniqueKey","CChny_HanyouCodeKey","CChny_Sort","CChny_HanyouCodeValue","CChny_HanyouCodeNaiyou","CChny_HanyouCodeSetumei"
"GKAKUDUKE03","GKAKUDUKE",3,"03","AAA-","R&I AAA-"
"GKAKUDUKE04","GKAKUDUKE",4,"04","AA+","R&I AA+"
"GKAKUDUKE05","GKAKUDUKE",5,"05","AA","R&I AA"
"GKAKUDUKE06","GKAKUDUKE",6,"06","AA-","R&I AA-"
"GKAKUDUKE07","GKAKUDUKE",7,"07","A+","R&I A+"
"GKAKUDUKE08","GKAKUDUKE",8,"08","A","R&I A"
"GKAKUDUKE09","GKAKUDUKE",9,"09","A-","R&I A-"
"GKAKUDUKE10","GKAKUDUKE",10,"10","BBB+","R&I BBB+"
"GKAKUDUKE100","GKAKUDUKE",100,"100","A","FITCH A"
"GKAKUDUKE101","GKAKUDUKE",101,"101","A-","FITCH A-"
"GKAKUDUKE102","GKAKUDUKE",102,"102","BBB+","FITCH BBB+"
"GKAKUDUKE103","GKAKUDUKE",103,"103","BBB","FITCH BBB"
"GKAKUDUKE104","GKAKUDUKE",104,"104","BBB-","FITCH BBB-"
"GKAKUDUKE105","GKAKUDUKE",105,"105","BB+","FITCH BB+"
"GKAKUDUKE106","GKAKUDUKE",106,"106","BB","FITCH BB"
"GKAKUDUKE107","GKAKUDUKE",107,"107","BB-","FITCH BB-"
"GKAKUDUKE108","GKAKUDUKE",108,"108","B+","FITCH B+"
"GKAKUDUKE109","GKAKUDUKE",109,"109","B","FITCH B"
"GKAKUDUKE11","GKAKUDUKE",11,"11","BBB","R&I BBB"
"GKAKUDUKE110","GKAKUDUKE",110,"110","B-","FITCH B-"
"GKAKUDUKE111","GKAKUDUKE",111,"111","CCC+","FITCH CCC+"
"GKAKUDUKE112","GKAKUDUKE",112,"112","CCC+","FITCH CCC+"
"GKAKUDUKE113","GKAKUDUKE",113,"113","CCC-","FITCH CCC-"
"GKAKUDUKE114","GKAKUDUKE",114,"114","CC","FITCH CC"
"GKAKUDUKE115","GKAKUDUKE",115,"115","該当なし","FITCH 該当なし"
"GKAKUDUKE12","GKAKUDUKE",12,"12","BBB-","R&I BBB-"
"GKAKUDUKE13","GKAKUDUKE",13,"13","BB+","R&I BB+"
"GKAKUDUKE14","GKAKUDUKE",14,"14","BB","R&I BB"
"GKAKUDUKE15","GKAKUDUKE",15,"15","BB-","R&I BB-"
"GKAKUDUKE16","GKAKUDUKE",16,"16","B+","R&I B+"
"GKAKUDUKE17","GKAKUDUKE",17,"17","B","R&I B"
"GKAKUDUKE18","GKAKUDUKE",18,"18","B-","R&I B-"
"GKAKUDUKE19","GKAKUDUKE",19,"19","CCC+","R&I CCC+"
"GKAKUDUKE20","GKAKUDUKE",20,"20","CCC+","R&I CCC+"
"GKAKUDUKE21","GKAKUDUKE",21,"21","CCC-","R&I CCC-"
"GKAKUDUKE22","GKAKUDUKE",22,"22","CC","R&I CC"
"GKAKUDUKE23","GKAKUDUKE",23,"23","該当なし","R&I 該当なし"
"GKAKUDUKE24","GKAKUDUKE",24,"24","AAA+","JCR AAA+"
"GKAKUDUKE25","GKAKUDUKE",25,"25","AAA","JCR AAA"
